	variant	WordOrtho	WordPhono	WordDuration	leftOrtho	Interfix	rightOrtho	leftPhonoCELEX	IfixPhonoCELEX	rightPhonoCELEX	leftPhono	IfixPhono	rightPhono	LeftDuration	RightDuration	IfixDuration	SpeechRate	SubtlexAbsFreq	SameLeftAndIfixFQ	SameLeftFQ	SameLeftDiffIfixFQ	RelFreq	SameLeftAndIfix	SameLeft	SameLeftDiffIfix	IfixNum	ParaProbType	RightPositionalEntropy	TypeSegmentalInfo
1043	Netherlandic	ogenblikken	oG@blIk@	0.5759999999999934	oog	en	blik	oG	@	blIk@	oG	@	blIk@	0.191999999999993	0.3029999999999972	0.081000000000003	29.22030956169534	54.0	912.0	912.0	0.0	0.0599334073251942	3.0	3.0	0.0	1.0	1.0	0.411183829708904	1.5999128421871278
1044	Netherlandic	bollenschuur	bOl@sxyr	0.6560000000000059	bol	en	schuur	bOl	@	sxyr	bOl	@	sxyr	0.2319999999999993	0.3730000000000046	0.0510000000000019	21.01255112113945												2.1926450779423963
1045	Netherlandic	tweepersoonsbed	twep@rsonzbEt	0.8210000000000264	tweepersoon	s	bed	twep@rson	z	bEt	twep@rson	z	bEt	0.5670000000000073	0.1730000000000018	0.0810000000000172	27.23990810633387	18.0	27.0	27.0	0.0	0.2903225806451613	4.0	4.0	0.0	1.0	1.0	2.573831114525482	2.0
1046	Netherlandic	universiteitskliniek	ynivErzitE+tsklinik	1.2089999999999463	universiteit	s	kliniek	ynivErzitKt	s	klinik	ynivErzitE+t	s	klinik	0.7049999999999841	0.4429999999999836	0.0609999999999786	37.40820734341238	1.0	27.0	27.0	0.0	0.0277777777777777	11.0	11.0	0.0	1.0	1.0	0.1831220683013727	0.13750352374993496
1047	Netherlandic	krijgsman	krE+xsmAn	0.7510000000000332	krijg	s	man	krKx	s	mAn	krE+x	s	mAn	0.3380000000000223	0.3120000000000118	0.100999999999999	18.8659020259406	8.0	370.0	370.0	0.0	0.0148698884758364	22.0	22.0	0.0	1.0	1.0	2.6576400996739986	0.4704506195974504
1048	Netherlandic	ziekenhuis	sik@hY+s	0.7890000000000001	ziek	en	huis	zik	@	hLs	sik	@	hY+s	0.2019999999999999	0.5060000000000002	0.0809999999999999	24.05002405002405	4808.0	5684.0	5684.0	0.0	0.7630534835740359	17.0	17.0	0.0	1.0	1.0	1.559544612019533	0.6951454184715791
1049	Netherlandic	oorlogspad	orlOxspAt	0.6669999999999998	oorlog	s	pad	orlOx	s	pAt	orlOx	s	pAt	0.3539999999999992	0.1920000000000001	0.1210000000000004	23.763336566440337	55.0	778.0	778.0	0.0	0.8208955223880597	79.0	79.0	0.0	1.0	1.0	0.7945359786259828	0.049187549627531746
1050	Netherlandic	trainingspakken	trenINspAk@	0.9410000000000024	training	s	pak	trenIN	s	pAk@	trenIN	s	pAk@	0.3850000000000051	0.4149999999999991	0.1409999999999982	28.74063751959589	5.0	57.0	57.0	0.0	0.25	9.0	9.0	0.0	1.0	1.0	1.490468570732828	0.13326653086346424
1051	Netherlandic	onderzoeksresultaten	Ond@rzuksrezYltat@	1.311000000000007	onderzoek	s	resultaat	Ond@rzuk	s	rez}ltat@	Ond@rzuk	s	rezYltat@	0.4840000000000088	0.757000000000005	0.0699999999999931	46.99407281964447	6.0	240.0	240.0	0.0	0.8571428571428571	31.0	31.0	0.0	1.0	1.0	0.5916727785823275	0.3344190390705592
1052	Netherlandic	boekenkast	buk@kAst	0.6289999999999623	boek	en	kast	buk	@	kAst	buk	@	kAst	0.2330000000000041	0.3039999999999736	0.0919999999999845	27.45202558635388	33.0	196.0	196.0	0.0	0.1231343283582089	28.0	28.0	0.0	1.0	1.0	2.9598541129710902	1.2465462830452247
1053	Netherlandic	koninginnedag	kOnINIn@dAx	0.9309999999999832	koningin	e	dag	konINIn	@	dAx	kOnINIn	@	dAx	0.4759999999999991	0.3739999999999668	0.0810000000000172	24.71325529147453												0.4329594072761063
